path,domain,type,title,status,version,lines,first_commit,last_commit,code_refs,dead_refs,flag,flag_id,flag_note,review_basis
README.md,Meta & Methodology,Status / phase record,Documentation,,,33,2025-10-31,2026-09-19,0,0,ORANGE,C14,"Lists api/, deployment/, development/ as documentation areas though they contain only .gitkeep; calls stale feature-data-flow-pass2.md canonical and calls the wiki current, despite their documented snapshot limits.",targeted cross-document and/or code-path review
acquisition/acquisition-one-pager-evidence.md,Acquisition & Business,Audit / analysis,acquisition-one-pager-evidence.md,,,18,2026-07-20,2026-07-20,36,0,,,,"inventory, metadata and cited-path checks only"
acquisition/acquisition-one-pager.md,Acquisition & Business,Status / phase record,acquisition-one-pager.md,,,55,2026-07-20,2026-07-20,0,0,,,,"inventory, metadata and cited-path checks only"
acquisition/capability-inventory.csv,Acquisition & Business,Data / asset,capability-inventory.csv,,,0,2026-07-20,2026-08-01,0,0,,,,"inventory, metadata and cited-path checks only"
acquisition/one-pager-review-notes.md,Acquisition & Business,Audit / analysis,one-pager-review-notes.md,,,69,2026-07-20,2026-07-20,0,0,,,,"inventory, metadata and cited-path checks only"
acquisition/one-pager-variants.md,Acquisition & Business,Status / phase record,one-pager-variants.md,,,14,2026-07-20,2026-07-20,0,0,,,,"inventory, metadata and cited-path checks only"
architecture/ADR-OWNERSHIP-COSTS-CONSOLIDATION.md,"Coverage, Risk & Financial Tools",ADR (decision),ADR: Consolidate Ownership Cost Intelligence,Accepted,,74,2026-07-28,2026-07-28,0,0,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_CONVERSATIONAL_ARCHITECTURE_AUDIT.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,Ask Cozy Conversational Operating Model & Architecture Audit,,,457,2026-09-11,2026-09-11,7,1,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_INCREMENTAL_IMPLEMENTATION_PLAN.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Plan,"Ask Cozy — Incremental Implementation Plan (Stage 3, Part B)",,,1259,2026-09-12,2026-09-17,11,0,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_INLINE_WORKSPACE_SESSION_HANDOFF.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Status / phase record,Ask Cozy Inline Workspace — Session Handoff,,,115,2026-09-18,2026-09-18,6,0,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_PHASE0_COVERAGE_AUDIT.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,Ask Cozy Cross-Domain Interaction Rollout — Phase 0 Coverage Audit,"Stage 1 AND Stage 2 both complete — all 77 registered operations classified and traced, 0 `PENDING`.",,422,2026-09-16,2026-09-22,5,0,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_PHASE1_COMPLETED_REFERENCE_REVERIFICATION.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,Ask Cozy Cross-Domain Interaction Rollout — Phase 1 Completed-Reference (Maintenance) Re-Verification,Complete.,,90,2026-09-17,2026-09-17,0,0,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_PHASE3_PHASE7_FINANCIAL_ACCEPTANCE_VERIFICATION.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,Ask Cozy Cross-Domain Interaction Rollout — Financial and Ownership Acceptance Scenario Verification (Phase 3 + Phase 7),Complete — all 8 acceptance scenarios (F01–F08) evaluated. **F02 and F05 have both since had their g,,138,2026-09-17,2026-09-17,0,0,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_PHASE4_SELL_HOLD_RENT_UX_COMPLETION_VERIFICATION.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,Ask Cozy Cross-Domain Interaction Rollout — Phase 4 Sell/Hold/Rent Persistent-Decision UX Completion Verification,"Complete — the 6 scenarios Phase 4's own exit criterion names, evaluated specifically against the se",,99,2026-09-17,2026-09-17,0,0,,,,"inventory, metadata and cited-path checks only"
