Product pillar,Feature,User problem,Frontend evidence,Backend evidence,Database evidence,Integration evidence,Maturity state,Connected modules,Buyer value,Limitations
Core platform,Property onboarding,New owners need a structured path to set up a usable home profile,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/onboarding/*","apps/backend/src/routes/propertyOnboarding.routes.ts; apps/backend/src/services/propertyOnboarding.service.ts","Property; HomeownerProfile; PropertyOnboarding","None required","Implemented and connected","Dashboard hub; inventory; protection; insights","Accelerates activation design for a homeowner platform","Pilot-stage workflow rather than proven activation funnel"
Core platform,Property hub dashboard,Homeowners need one place to see their home context and next actions,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/page.tsx","apps/backend/src/routes/homeStatusBoard.routes.ts; apps/backend/src/routes/dailyHomePulse.routes.ts","Property; GuidanceSignal; HomeScoreReport","None required","Implemented and connected","Guidance; status board; daily pulse; tool rail","Shows a coherent property-centered command surface","Large surface still requires polish and performance tuning"
Core platform,Inventory rooms and assets,"Homeowners need a durable record of rooms, appliances, and systems","apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/inventory/*; apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/rooms/*","apps/backend/src/routes/inventory.routes.ts; apps/backend/src/services/inventory.service.ts","InventoryRoom; InventoryItem; HomeItem","XLSX import; OCR/room scan hooks","Implemented and connected","Coverage; status board; digital twin; recalls","Provides canonical home-asset memory a buyer can extend","Some imports/scans depend on optional AI or review steps"
Core platform,Maintenance and seasonal workflows,Homeowners need recurring maintenance memory and execution tracking,"apps/frontend/src/app/(dashboard)/dashboard/maintenance/page.tsx; apps/frontend/src/app/(dashboard)/dashboard/seasonal/*","apps/backend/src/routes/propertyMaintenanceTask.routes.ts; apps/backend/src/routes/seasonalChecklist.routes.ts","PropertyMaintenanceTask; SeasonalChecklist*","Worker jobs for generation and reminders","Implemented and connected","Status board; risk; daily pulse; guidance","Provides reusable tasking and reminder substrate","Would still need production notification tuning"
Core platform,Claims and incidents management,"Homeowners need to track issues, claims, and open risks in one place","apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/claims/*; apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/incidents/*","apps/backend/src/routes/claims.routes.ts; apps/backend/src/routes/incidents.routes.ts","Claim; Incident; IncidentResolution*","Coverage analysis stale-marking; orchestration hooks","Implemented and connected","Coverage; guidance; risk replay","Supports insurer or protection-platform adjacency","Maturity depends on downstream integrations and workflows"
Core platform,Status board,Homeowners need a current operating view of asset condition and urgency,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/status-board/*","apps/backend/src/routes/homeStatusBoard.routes.ts; apps/backend/src/services/homeStatusBoard.service.ts","HomeItem; InventoryItem; Warranty; PropertyMaintenanceTask; Signal","Shared signals","Implemented and connected","Inventory; maintenance; guidance; home score","Strong buyer-facing proof of connected asset intelligence","Modeled recommendations still require real-world calibration"
Core platform,Seller prep workflow,Owners planning to sell need prioritized prep actions and ROI framing,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/seller-prep/page.tsx","apps/backend/src/sellerPrep/*","SellerPrepPlan; SellerPrepPlanItem; SellerPrepLead","Public comps provider placeholder","Implemented but partially connected","Property data; readiness report; comparables","Shows expansion beyond maintenance into resale planning","Public comparable-sales integration is incomplete"
Core platform,Document vault and sharing,Homeowners need a shareable record of verified home assets and service history,"apps/frontend/src/app/vault/[propertyId]/page.tsx; apps/frontend/src/app/(dashboard)/dashboard/components/ShareVaultButton.tsx","apps/backend/src/routes/vault.routes.ts; apps/backend/src/services/vault.service.ts","Property.vaultPasswordHash; InventoryItem; Booking","JWT-based share links","Implemented and connected","Inventory; bookings; documents","Useful for buyer, insurer, or service-network ecosystems","Scope is curated/read-only rather than full document management"
Financial intelligence,Break-even analysis,Homeowners need to know when a project or financing decision pays back,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/break-even/*","apps/backend/src/routes/breakEven.routes.ts","BreakEven snapshot models in Prisma","None required","Implemented and connected","Capital timeline; financing; refinance","Reusable decision-support logic for major home spending","Value depends on data completeness"
Financial intelligence,Capital timeline,Homeowners need to see upcoming capital needs over time,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/capital-timeline/*","apps/backend/src/routes/homeCapitalTimeline.routes.ts","HomeCapitalTimeline*","None required","Implemented and connected","Reserve fund; inventory; digital twin","Supports proactive planning instead of reactive repairs","Modeled forecasts are not contractor estimates"
Financial intelligence,Cost explainer,Homeowners need explanations for where ownership costs come from,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/cost-explainer/*","apps/backend/src/routes/costExplainer.routes.ts","Property finance snapshot dependencies","None required","Implemented and connected","True cost; cost growth; savings","Useful educational layer for financial engagement","Less differentiated alone than as part of the suite"
Financial intelligence,Cost growth,Homeowners need long-horizon views of operating cost inflation,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/cost-growth/*","apps/backend/src/routes/homeCostGrowth.routes.ts","HomeCostGrowth snapshots","None required","Implemented and connected","True cost; savings; reserve fund","Adds longitudinal cost-planning depth","Assumption-driven; not an actuarial forecast"
Financial intelligence,Cost volatility,Homeowners need to understand unpredictability and buffer needs,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/cost-volatility/*","apps/backend/src/routes/costVolatility.routes.ts","CostVolatility models/DTOs","None required","Implemented but partially connected","Reserve fund; do-nothing","Could support premium financial positioning and alerts","Less evidence reviewed than for reserve/refinance/savings"
Financial intelligence,Coverage intelligence,Homeowners need to judge whether insurance and warranty spending is worthwhile,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/coverage-intelligence/*","apps/backend/src/routes/coverageAnalysis.routes.ts; apps/backend/src/services/coverageAnalysis.service.ts","CoverageAnalysis; InsurancePolicy; Warranty","PreferenceProfile; AssumptionSet; claims hooks","Implemented and connected","Claims; inventory; guidance; insurance","Strong example of cross-module homeowner intelligence","Needs real policy inputs to be most useful"
Financial intelligence,Coverage options,Homeowners need an options layer after identifying a coverage issue,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/coverage-options/*","apps/backend/src/services/coverageAnalysis.service.ts","CoverageScenario","None required","Implemented but partially connected","Coverage intelligence; providers","Shows decision path continuation from analysis to action","Route is largely a wrapper/redirect; not a fully distinct engine"
